time relative to tcryst: 405523154.0490658 years
r/r_wd                        rho                           c_sound                       N_squared                     v_conv                        B_crit                        r                             pressure                      B_crit_p
1.0                           0.00309700215013575           1592590.219903801             -398.1481027323983            1.0000000000000327e-99        1.972766504482363e-100        0.005875252706647118          5746994051.894912             380049.62090397923            
0.9999900077090699            0.0070484622809275435         1859489.1184291486            -225.55086011494816           23771.18639113925             7074.617750183963             0.005875193999412785          17199476756.941437            657472.431818677              
0.9999856171639616            0.010147095676111627          1997114.5366127095            -109.99131265656868           20038.780600270864            7155.617211118838             0.005875168203850754          28652160596.772976            848591.3845440428             
0.9999825673433174            0.012893897158179584          2089931.921224303             -70.76146889322168            18034.05216065912             7259.226619150334             0.005875150285383759          40104984154.20546             1003966.2288789875            
0.9999801672163334            0.015428952671650897          2162570.7012774474            -51.650739890700585           16725.612971192106            7364.702337754992             0.0058751361840312            51557917667.13768             1138328.5127851877            
0.9999781614335992            0.0179937735496797            2228824.936705629             -40.55163495460721            15798.155975680962            7512.291899328483             0.005875124399550762          63963855934.452896            1267906.5577524335            
0.9999761553514511            0.02089541516438789           2297064.0746185677            -32.387268931250986           14998.198847501812            7685.454246512043             0.005875112613311192          78882825832.10028             1408027.5739587755            
0.9999740243707007            0.023396558384286413          2349677.4944410184            -25.920954312552492           14249.326995777883            7726.3659426090235            0.00587510009326077           92290355619.85733             1522993.6394155645            
0.9999728306690068            0.025690828330209227          2397053.0895601865            -23.046608105942997           13875.943787881932            7884.179755028024             0.005875093079961662          105263115444.0707             1626514.8758571297            
0.9999711889120755            0.028568572743654812          2453210.1677748384            -19.74529837979453            13412.575274689118            8036.39687990054              0.005875083434224808          122226583875.86697            1752680.5481383088            
0.999969456430467             0.031038839808919118          2498083.9116156073            -16.896411613037507           12962.26997628966             8095.407865560761             0.005875073255457548          137280887228.17815            1857483.5165768408            
0.9999684299620648            0.03290811633780721           2531236.00922901              -15.463411837371357           12715.41963472704             8176.870906957247             0.00587506722469629           149072113708.1952             1935611.2363401249            
0.9999674617981139            0.035257633454800805          2572299.529888211             -14.257472096509245           12498.816697761442            8319.560995720687             0.005875061536488417          164408630169.07086            2032741.881746749             
0.9999660147544066            0.0376135732752225            2611512.928328305             -12.670191027751127           12193.281452217763            8382.968363088079             0.005875053034740959          180174008414.2281             2127972.4456899613            
0.9999651061004391            0.03940805714288937           2641007.7406641967            -11.789596891381892           12011.790379809878            8452.889442433461             0.005875047696169277          192539806668.96997            2199784.7933919993            
0.9999642776478109            0.04112630783870586           2668618.1468858193            -11.056948916280973           11854.734472360207            8522.296189828246             0.005875042828800731          204622510825.48056            2267757.6180331577            
0.9999634838065159            0.04324319651597681           2702079.3082985505            -10.411390925350776           11711.029259577577            8632.943383022253             0.005875038164782514          219874329523.6741             2350754.054927152             
0.9999623327896999            0.04536679865647905           2734329.979327745             -9.559529346270606            11511.04006495735             8691.376521727167             0.00587503140226785           235470751600.7516             2432699.2142296396            
0.9999615721066626            0.04693505218824113           2757851.686343537             -9.045014173408097            11383.868505621153            8742.657303555166             0.0058750269330627766         247260192302.42606            2492855.0758718424            
0.9999609499585205            0.04849492595183825           2781015.446912814             -8.650478525213412            11283.903967608487            8808.71306856844              0.00587502327778522           259217943169.08856            2552421.886661631             
0.9999602195884995            0.05017699884736184           2805517.0540739787            -8.21504277654484             11170.369940266135            8870.024702983987             0.005875018986676778          272326478232.8408             2616163.3945826446            
0.9999595137015005            0.05163857148180468           2826406.257092546             -7.820631001756555            11063.738690630093            8912.385258028293             0.005875014839412276          283884036057.24164            2671101.6486069565            
0.9999589901072327            0.05288649659113725           2844078.5771885277            -7.544000379994438            10986.775526927395            8956.690817739247             0.005875011763163637          293890600586.5253             2717770.485911892             
0.9999584788673197            0.05412030382012303           2861372.378318252             -7.286299115866033            10913.436088801991            9000.083826684739             0.005875008759499954          303897185579.69385            2763651.4478693297            
0.9999579792818875            0.05560105435489288           2882018.0171112427            -7.04569575925996             10843.450744569538            9063.87602471338              0.005875005824309292          316071810748.28064            2818466.0773599837            
0.9999572822863687            0.0573224530645786            2905704.058952672             -6.72713406545919             10748.141147373253            9122.222833167818             0.005875001729284484          330414496083.6499             2881704.708724984             
0.9999566062207571            0.05901633455885309           2928836.3066636506            -6.435677388942958            10657.968321507547            9178.36814500577              0.005874997757228169          344757220207.1241             2943585.229307607             
0.9999559495586499            0.06068294053262609           2951458.614834408             -6.1678898500502575           10572.724124717515            9232.62382447929              0.005874993899172346          359099982005.57086            3004191.558969472             
0.9999553109303893            0.06232279100422483           2973595.425204121             -5.92082783916083             10491.9883737725              9285.091326715588             0.005874990147069929          373442780444.4986             3063599.3152898867            
0.9999546891050624            0.06393704129480968           2995237.7150678               -5.692090768395302            10415.377011924318            9335.900074613237             0.005874986493688995          387785614559.9585             3121876.919892094             
0.9999540829785268            0.06542945236395706           3015025.5834383485            -5.4797073753505              10342.462488323677            9378.114461545672             0.005874982932542426          401232054145.6136             3175541.1175906407            
0.9999535647144726            0.06680421489737667           3033057.4822682915            -5.3060335645389225           10281.498152479753            9420.268166726504             0.005874979887610139          413782090443.64526            3224822.197299917             
0.999953057115241             0.06846686355534759           3054597.8074272154            -5.142800808842997            10223.185268847059            9482.686219402476             0.005874976905336379          429175628732.8657             3284259.4322945336            
0.9999523374130833            0.07041161651655457           3079109.283089554             -4.922319616568111            10142.356336164654            9540.386172107384             0.0058749726769043295         447412696033.9438             3353312.9158884543            
0.99995163758794              0.0722948826816932            3102209.7949768743            -4.719546478913198            10065.482456103642            9593.858458355176             0.005874968565254763          465324151560.69434            3419776.5261267945            
0.9999509803348732            0.07411876490828855           3124076.182613381             -4.538987820493969            9994.95440098943              9646.05726888071              0.005874964703726902          482909990495.13275            3483798.4769324716            
0.9999503392543717            0.07562216903230523           3141722.4081116556            -4.371447064120546            9927.4921462594               9677.63078378622              0.005874960937216951          497564893855.5324             3536264.9394192463            
0.9999499203635808            0.07681157204339863           3155571.046743812             -4.266328818070317            9884.18361849154              9710.890644143488             0.005874958476127698          509288836189.02466            3577684.241323413             
0.9999495079588376            0.07813074903657845           3170826.6051354455            -4.166084341988927            9842.293393080143             9752.416327946105             0.005874956053145614          522421604199.12335            3623518.5925600664            
0.9999490050772294            0.0795770774627464            3187413.409112952             -4.047929467114427            9792.011040893785             9791.986794886969             0.005874953098589084          536963207797.07654            3673602.7753292057            
0.9999485113351005            0.08119144264837161           3205865.9596577873            -3.9361018915344577           9743.523848676476             9841.835767659186             0.0058749501977293055         553395853629.6234             3729390.6722572013            
0.9999479015491056            0.0829699440181124            3226064.964106796             -3.803420481627981            9684.833333299159             9889.116242385386             0.005874946615082488          571719557672.4664             3790630.514621468             
0.9999473048334546            0.08477076214633418           3246461.5322974357            -3.6790971020664704           9628.62063531591              9937.8411803393               0.005874943109227245          590525509342.8461             3852469.9629290877            
0.9999466900544084            0.08659384077579477           3267051.1360025275            -3.556451137589109            9572.019025706393             9985.090065011364             0.005874939497244989          609813712336.6577             3914880.6150228013            
