time relative to tcryst: 1283952059.3244963 years
r/r_wd                        rho                           c_sound                       N_squared                     v_conv                        B_crit                        r                             pressure                      B_crit_p
1.0                           0.003426232823728793          1488327.9228576454            -155.11440451032547           1.0000000000000327e-99        2.0749773847938962e-100       0.005863730673348177          5783092220.828945             381241.3412628646             
0.9999909127012715            0.008019725027533599          1710706.6852505624            -85.2293922357864             12771.056901738091            4054.259199698797             0.0058636773878758845         17330486200.863045            659971.6850397182             
0.9999870303231475            0.011658947205628717          1849059.9516675712            -42.169049637880754           10681.716720164039            4088.609714093395             0.005863654622656193          28878059509.665714            851930.0422241003             
0.9999843597724979            0.014859499528487176          1943741.463329254             -28.421255784819557           9806.981815877363             4237.818897880923             0.0058636389632664345         40425756174.40772             1007973.2481106095            
0.9999822644154245            0.017782808010405167          2024395.0935959762            -21.56850861858958            9271.124888148957             4382.657508931448             0.005863626676656891          51973549627.36162             1142907.5962309598            
0.999980513506504             0.02070535951080433           2100912.3277795357            -17.453298457234414           8899.160391800566             4539.367605661651             0.005863616409798548          64482228428.29531             1273033.8412388933            
0.9999787594986738            0.02396642056173857           2182717.9516357337            -14.30581686210294            8577.309985078844             4707.145533510155             0.005863606124769033          79524735516.1861              1413744.884698287             
0.9999768902354077            0.026724519976183782          2251236.652418181             -11.678815928065914           8262.976558925771             4788.466013410508             0.005863595163912683          93043272794.70541             1529193.4142620354            
0.9999758388043132            0.029216434349823944          2313861.0639952626            -10.470436505165805           8105.545018579851             4911.34859600368              0.005863588998603923          106123432992.64804            1633148.1193411252            
0.9999743863497688            0.03229884761902895           2388834.6858452475            -9.060810447981659            7913.5274352736105            5041.602000175813             0.0058635804818016595         123227327582.954              1759841.0543139654            
0.9999728446039416            0.034899500342940315          2450517.1649936223            -7.8037862561175535           7718.717975466176             5111.633523391999             0.005863571441419363          138406241155.05655            1865081.2967239856            
0.9999719261140974            0.03683842089114326           2496742.6793696266            -7.146182380272697            7604.644734578241             5174.09459906998              0.005863566055642289          150295062985.79172            1943534.6474853049            
0.9999710559656737            0.03924729348879948           2554025.249208285             -6.581223625224068            7501.822545519148             5268.373726643529             0.005863560953326287          165758512909.85925            2041069.7713259736            
0.9999697480871621            0.04163811029869418           2608651.5783378677            -5.8348918785229245           7358.232488113788             5322.60139170115              0.005863553284278942          181654365265.50806            2136696.551989799             
0.9999689222501893            0.0434408464380673            2649814.401122566             -5.422374992835312            7274.908723258017             5375.039004671236             0.005863548441793353          194122498610.6223             2208807.4891789476            
0.9999681661200123            0.04514933202590433           2688843.7234729473            -5.0783197724912155           7203.143190540272             5425.660871265235             0.005863544008049641          206305191543.58557            2277062.7995745107            
0.9999674386013007            0.047231367919628425          2736551.917909565             -4.771743459779922            7135.951413347848             5497.586588218456             0.005863539742075857          221683220515.03748            2360403.994225002             
0.9999663783447852            0.04929950424743056           2782564.793657775             -4.359975041432805            7037.370551066969             5539.067114570881             0.005863533525017205          237408698782.15445            2442689.376883321             
0.9999656740714133            0.050816463132168144          2815618.8493798543            -4.107020218061293            6971.09152488034              5570.676437319964             0.005863529395347832          249295691246.41992            2503094.903820216             
0.9999650959373112            0.05231783453311519           2847475.949717734             -3.911570825842895            6917.552007258864             5608.958734927727             0.005863526005325164          261352384435.78418            2562908.86446106              
0.9999644148052091            0.05392876060652733           2880236.0713894484            -3.69587995430495             6856.28151346953              5644.21817376055              0.005863522011349965          274569381181.88583            2626914.769567841             
0.9999637540185672            0.05532142749349542           2907471.783279009             -3.5013542822488612           6798.921559236485             5668.806743708378             0.0058635181366750635         286222565603.6978             2682080.847986801             
0.9999632622989667            0.05650514651471913           2930203.834222379             -3.365742760702513            6757.995848708562             5694.6476184733065            0.005863515253363759          296311922610.7072             2728943.1789538823            
0.9999627808798667            0.05767099206702565           2952341.083021948             -3.2401845423870896           6719.6526296158845            5720.453584005343             0.005863512430451816          306401299047.2891             2775014.335296065             
0.9999623091924273            0.05906463626541286           2978794.5759149333            -3.1237831447447757           6683.769273614525             5758.2451222383415            0.00586350966460371           318676651994.88934            2830056.15319235              
0.999961649065885             0.06067779464591777           3009461.584210912             -2.970721636996637            6635.572886997279             5794.263614406861             0.005863505793799456          333138000603.3298             2893556.8359056134            
0.9999610064883948            0.062257962736407955          3039967.7777958536            -2.8312531738243303           6589.950105667251             5828.871900396716             0.005863502025898116          347599386383.395              2955693.7306214846            
0.9999603802193572            0.0638062869962459            3070563.281102649             -2.703090233230402            6546.130074529872             5861.669112959692             0.00586349835362515           362060808391.79565            3016551.1111817043            
0.9999597691466163            0.06532416348635475           3101238.304393786             -2.584473001869795            6503.550860866956             5892.402451352289             0.005863494770459176          376522265749.6051             3076204.913840355             
0.9999591722720785            0.06681288941594958           3131626.7999857687            -2.474189964092058            6462.015396383769             5921.108882718635             0.005863491270547641          390983757635.5858             3134723.8483297233            
0.9999585886964255            0.0681837905177034            3159561.424171657             -2.371434759162997            6421.363964587232             5943.917722003496             0.005863487848617184          404541437927.6655             3188610.2420536825            
0.9999580883338646            0.06944108601370069           3185014.9828205775            -2.2871379653952317           6386.472689972713             5965.876290871502             0.005863484914625888          417195298194.02795            3238095.346241134             
0.9999575970303519            0.07095384936072281           3215284.183220623             -2.2076643774761515           6352.375194319517             5998.312032041303             0.0058634820337544104         432716183169.31946            3297778.6246310095            
0.999956898317362             0.0727137825298945            3249367.548177268             -2.100106260633896            6304.286412780609             6026.279022513606             0.00586347793668962           451104119378.6191             3367117.921836374             
