time relative to tcryst: 1204223640.033953 years
r/r_wd                        rho                           c_sound                       N_squared                     v_conv                        B_crit                        r                             pressure                      B_crit_p
1.0                           0.00450532702063077           1487399.041447882             -110.71445770953027           1.0000000000000327e-99        2.379403477347559e-100        0.006116712490684998          7577786977.295136             436406.41515302047            
0.9999905494998259            0.010500012192779573          1716389.1247387643            -60.62831564713702            11630.893866381592            4224.86587792266              0.00611665468469254           22715833719.28775             755586.640076076              
0.9999864944408356            0.015266217857056216          1845075.6191646177            -29.919786739268456           9723.088540051465             4258.678943519641             0.006116629881062563          37854126008.779816            975386.0535285297             
0.999983705376729             0.019491777468365393          1938014.19868522              -20.19899019177119            8924.07307796631              4416.658009425511             0.006116612821159305          52992587188.400505            1154057.6159128125            
0.9999815209339787            0.023346466416117793          2019654.15109637              -15.387985263744135           8439.989258749834             4571.486111996792             0.0061165994595510495         68131180647.30585             1308557.7300279117            
0.9999796971529434            0.02692310636006302           2091576.7472223227            -12.48647337487463            8104.426628636762             4714.002519364223             0.00611658830400681           83269884546.67401             1446651.46474775              
0.9999781156494146            0.030266791059199816          2159585.2953021885            -10.500317395171214           7842.375177155754             4836.5506070375795            0.0061165786304044215         98408684216.0185              1572666.5237932205            
0.9999767088562453            0.03341300898159087           2223317.076954299             -9.049446170339124            7630.050095595767             4944.132659339748             0.006116570025455071          113547569076.16795            1689308.0449525334            
0.9999754345253647            0.036388908774745085          2283500.9146469785            -7.955500995080003            7460.096294436233             5044.683005023197             0.006116562230739457          128686531106.15225            1798400.7578713757            
0.9999742644069263            0.03921665428096797           2340467.1854447406            -7.094163228718176            7317.689523490919             5137.054591850563             0.006116555073461388          143825563995.59912            1901244.5087299694            
0.9999731786582805            0.04191530585291991           2393735.5239527593            -6.3851014728651085           7188.838096024524             5217.349791504269             0.006116548432249085          158964662635.65506            1998804.0750740005            
0.9999721628117327            0.04450125103348271           2443450.388364534             -5.7888355707711545           7069.397906991524             5286.56369403583              0.006116542218607818          174103822793.5196             2091818.903538297             
0.9999712059936278            0.046986402482491134          2490765.770545454             -5.286683535741414            6961.866675553487             5349.54359742102              0.006116536366026564          189243040894.8258             2180870.5546513805            
0.9999702997807718            0.049379713620763425          2536608.549953846             -4.863443070331547            6867.954892720326             5410.11690380896              0.006116530822983068          204382313875.2533             2266426.219040327             
0.9999694374882571            0.05168941821979141           2581418.4427438662            -4.5022114355715575           6785.394693463186             5468.659317519655             0.006116525548587673          219521639075.27097            2348867.9292337596            
0.99996861372528              0.0539220618825347            2624980.748584003             -4.188517064704639            6710.827812478142             5524.134867646536             0.006116520509866382          234661014161.7772             2428512.8258661837            
0.9999678240689438            0.056083326225003845          2666722.8767221067            -3.9116056674011044           6641.345386006935             5575.423741421137             0.006116515679765607          249800437069.49335            2505627.614728158             
0.9999670648421519            0.05817963277556801           2706198.288711965             -3.6640304640030283           6575.051754277007             5621.983873344223             0.006116511035793606          264939905955.79636            2580439.12882052              
0.9999663329704416            0.060217916525608164          2743130.378577172             -3.441488826989794            6511.496206680529             5664.330514469024             0.006116506559144774          280079419164.23615            2653142.2060161955            
0.9999656258704468            0.06220403620294512           2777404.875376001             -3.241141376712402            6450.950572894888             5703.453814844079             0.006116502234017403          295218975194.79285            2723905.6718943384            
0.9999649413465718            0.06414300047241205           2809480.8542753872            -3.06054551474718             6393.639671277379             5740.209256244879             0.0061164980469816665         310358572680.395              2792876.956704456             
0.9999642775141198            0.0660390428678968            2840118.709667829             -2.897511912492639            6339.713070056576             5775.30493259176              0.006116493986509416          325498210368.09534            2860185.7092839736            
0.9999636327400722            0.06789553603285674           2869931.517533438             -2.7501092118522505           6289.2495164358415            5809.307533046147             0.006116490042611945          340637887103.8375             2925946.662069923             
0.9999630055955254            0.0697143725782736            2899324.692028512             -2.6163662053608334           6242.074449555717             5842.450449583928             0.0061164862065490625         355777601820.07794            2990261.9285805067            
0.9999623948123249            0.07149660047722937           2928557.7002376355            -2.4943760426913815           6197.694896139396             5874.593507162662             0.00611648247056383           370917353526.085              3053222.865008733             
0.9999617992536686            0.07324344419830742           2957844.65542423              -2.3823988803781373           6155.559085246496             5905.501926389208             0.006116478827702759          386057141299.9393             3114911.592933277             
0.9999612178983025            0.07495630194218524           2987231.2461685366            -2.2790430125847374           6115.241736028275             5935.026158095504             0.0061164752717191295         401196964281.56964            3175402.2556262137            
0.9999606498270762            0.07663662865923329           3016364.3612814303            -2.18328814729538             6076.510817630855             5963.172918251143             0.006116471796990764          416336821666.57745            3234762.0628004693            
0.9999600942106975            0.07828573615270773           3044886.2743025054            -2.094347886419841            6039.261652116685             5990.045176279555             0.0061164683984451206         431476712700.7671             3293052.165776672             
0.9999595502979084            0.07990477535534143           3072508.2874459513            -2.011521680328059            6003.403009333948             6015.736401713405             0.00611646507148697           446616636675.43933            3350328.3955463734            
0.9999590174053712            0.08149506500840246           3099050.3613982066            -1.9342249741957447           5968.838988067988             6040.327010604306             0.006116461811936531          461756592923.26556            3406641.88910356              
0.9999584949111099            0.08305856801167331           3124492.194382103             -1.8619449568793445           5935.46793342954              6063.901172569984             0.006116458615989357          476896580814.6014             3462039.6240473534            
