time relative to tcryst: 21867263.87820227 years
r/r_wd                        B/B0
0.000820344544708778          1.0                           
0.00164068908941756           1.00000000000001              
0.00246103363412633           1.00000000000001              
0.00328137817883511           1.00000000000001              
0.00410172272354389           1.00000000000001              
0.00492206726825267           1.00000000000001              
0.00574241181296144           1.00000000000001              
0.00656275635767022           1.00000000000001              
0.007383100902379             1.00000000000001              
0.00820344544708778           1.00000000000001              
0.00902378999179656           1.00000000000001              
0.00984413453650533           1.00000000000001              
0.0106644790812141            1.00000000000001              
0.0114848236259229            1.00000000000001              
0.0123051681706317            1.0                           
0.0131255127153404            1.0                           
0.0139458572600492            1.0                           
0.014766201804758             1.0                           
0.0155865463494668            1.0                           
0.0164068908941756            0.999999999999999             
0.0172272354388843            0.999999999999998             
0.0180475799835931            1.0                           
0.0188679245283019            0.999999999999999             
0.0196882690730107            0.999999999999998             
0.0205086136177194            0.999999999999995             
0.0213289581624282            0.999999999999997             
0.022149302707137             0.999999999999997             
0.0229696472518458            0.999999999999998             
0.0237899917965546            0.999999999999998             
0.0246103363412633            1.0                           
0.0254306808859721            1.0                           
0.0262510254306809            1.0                           
0.0270713699753897            1.0                           
0.0278917145200984            1.0                           
0.0287120590648072            1.0                           
0.029532403609516             1.0                           
0.0303527481542248            1.0                           
0.0311730926989336            1.0                           
0.0319934372436423            1.0                           
0.0328137817883511            1.0                           
0.0336341263330599            1.0                           
0.0344544708777687            1.0                           
0.0352748154224774            1.0                           
0.0360951599671862            1.0                           
0.036915504511895             1.0                           
0.0377358490566038            1.0                           
0.0385561936013126            0.999999999999999             
0.0393765381460213            1.0                           
0.0401968826907301            0.999999999999998             
0.0410172272354389            0.999999999999998             
0.0418375717801477            0.999999999999998             
0.0426579163248564            0.999999999999997             
0.0434782608695652            0.999999999999998             
0.044298605414274             0.999999999999996             
0.0451189499589828            0.999999999999994             
0.0459392945036916            0.999999999999995             
0.0467596390484003            0.999999999999993             
0.0475799835931091            0.999999999999994             
0.0484003281378179            0.999999999999995             
0.0492206726825267            0.999999999999996             
0.0500410172272354            0.999999999999998             
0.0508613617719442            0.999999999999998             
0.051681706316653             0.999999999999999             
0.0525020508613618            0.999999999999998             
0.0533223954060706            0.999999999999998             
0.0541427399507793            0.999999999999999             
0.0549630844954881            0.999999999999998             
0.0557834290401969            0.999999999999998             
0.0566037735849057            0.999999999999997             
0.0574241181296144            0.999999999999997             
